FL_Test | INFO flwr 2024-02-26 18:36:25,417 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-26 18:36:25,431 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-26 18:36:25,431 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-26 18:36:25,431 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 18:36:52,644 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-26 18:36:52,649 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-26 18:36:52,650 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-26 18:36:52,650 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 18:37:29,140 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 18:37:29,141 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-02-26 18:37:29,141 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-02-26 18:38:00,399 | server.py:222 | fit_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-02-26 18:38:00,448 | server.py:236 | fit_round 1 received 0 results and 3 failures
FL_Test | INFO flwr 2024-02-26 18:47:25,215 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-26 18:47:25,228 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-26 18:47:25,228 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-26 18:47:25,228 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 18:57:35,335 | server.py:280 | Received initial parameters from one random client
