FL_Test | INFO flwr 2024-02-25 18:19:03,059 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-25 18:19:03,065 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-25 18:19:03,065 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-25 18:19:03,065 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-25 18:22:11,986 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-25 18:22:11,991 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-25 18:22:11,991 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-25 18:22:11,992 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-25 18:22:37,796 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-25 18:22:37,803 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-25 18:22:37,803 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-25 18:22:37,803 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-25 18:23:36,968 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-25 18:23:36,973 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-25 18:23:36,973 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-25 18:23:36,973 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-25 18:23:47,394 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-02-25 18:23:47,394 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-02-25 18:23:47,394 | server.py:104 | FL starting
