FL_Test | INFO flwr 2024-02-25 19:17:03,785 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-25 19:17:03,802 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-25 19:17:03,802 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-25 19:17:03,802 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-25 19:17:09,374 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-25 19:17:09,380 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-25 19:17:09,381 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-25 19:17:09,381 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 00:20:43,137 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-26 00:20:43,153 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-26 00:20:43,154 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-26 00:20:43,154 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 09:03:37,196 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-26 09:03:37,211 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-26 09:03:37,211 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-26 09:03:37,211 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 09:07:16,975 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-26 09:07:16,982 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-26 09:07:16,983 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-26 09:07:16,983 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 09:07:59,332 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-26 09:07:59,338 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-26 09:07:59,338 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-26 09:07:59,338 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 09:08:40,823 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-02-26 09:08:40,830 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-02-26 09:08:40,830 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-02-26 09:08:40,830 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 09:08:44,795 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-02-26 09:08:44,795 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-02-26 09:08:44,795 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-02-26 09:09:18,910 | server.py:222 | fit_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-02-26 09:09:18,940 | server.py:236 | fit_round 1 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-02-26 09:09:19,054 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-02-26 09:09:19,104 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-02-26 09:09:19,104 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-02-26 09:09:19,188 | server.py:236 | fit_round 2 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-02-26 09:09:19,278 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-02-26 09:09:19,313 | server.py:187 | evaluate_round 2 received 3 results and 0 failures
FL_Test | INFO flwr 2024-02-26 09:09:19,313 | server.py:153 | FL finished in 34.5185413449999
FL_Test | INFO flwr 2024-02-26 09:09:19,314 | app.py:226 | app_fit: losses_distributed [(1, 20.596372604370117), (2, 20.596372604370117)]
FL_Test | INFO flwr 2024-02-26 09:09:19,314 | app.py:227 | app_fit: metrics_distributed_fit {'Accuracy': [(1, 0.0), (2, 0.0)], 'Precision': [(1, 0.0), (2, 0.0)], 'Recall': [(1, 0.0), (2, 0.0)], 'F1_Score': [(1, 0.0), (2, 0.0)]}
